category,n_docs,mean_forecast_per_1k,median_forecast_per_1k,mean_explanation_per_1k,median_explanation_per_1k,mean_diff,median_diff
post,10,38.60490261624379,18.45711153740751,16.054666126836047,15.444011412005999,-22.55023648940774,-5.208374279672009
pre,10,18.726027778838798,7.807850199154547,8.198977003916225,7.903002423702825,-10.527050774922575,-1.175088131609871
