outlet,category,n_docs,mean_diff,mean_forecast_per_1k,mean_explanation_per_1k
Gallup,pre,2,0.8849557522123894,7.524997126767039,8.409952878979428
Guardian,post,2,-40.36053680813007,58.35240274599543,17.991865937865356
Guardian,pre,3,-1.684292988640815,10.669481296763076,8.985188308122261
abcNEWS,post,2,-29.977712252723673,49.79096584852638,19.813253595802706
abcNEWS,pre,2,-52.46900646062511,61.83691286886677,9.367906408241662
